v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
5.600000000000003e-01	2.000000e-04	3.566727e-02
5.700000000000003e-01	2.000000e-04	3.567084e-02
5.800000000000003e-01	2.000000e-04	3.567442e-02
5.900000000000003e-01	2.000000e-04	3.567799e-02
6.000000000000003e-01	2.000000e-04	3.568156e-02
6.100000000000003e-01	2.000000e-04	3.568514e-02
6.200000000000003e-01	2.000000e-04	3.568871e-02
6.300000000000003e-01	2.000000e-04	3.569228e-02
6.400000000000003e-01	2.000000e-04	3.569586e-02
6.500000000000004e-01	2.000000e-04	3.569943e-02
6.600000000000004e-01	2.000000e-04	3.570300e-02
6.700000000000004e-01	2.000000e-04	3.570658e-02
6.800000000000004e-01	2.000000e-04	3.571015e-02
6.900000000000004e-01	2.000000e-04	3.571372e-02
7.000000000000004e-01	2.000000e-04	3.571730e-02
7.100000000000004e-01	2.000000e-04	3.572087e-02
7.200000000000004e-01	2.000000e-04	3.572445e-02
7.300000000000004e-01	2.000000e-04	3.572802e-02
7.400000000000004e-01	2.000000e-04	3.573159e-02
7.500000000000004e-01	2.000000e-04	3.573516e-02
7.600000000000005e-01	2.000000e-04	3.573874e-02
7.700000000000005e-01	2.000000e-04	3.574231e-02
7.800000000000005e-01	2.000000e-04	3.574589e-02
7.900000000000005e-01	2.000000e-04	3.574946e-02
8.000000000000005e-01	2.000000e-04	3.575303e-02
8.100000000000005e-01	2.000000e-04	3.575661e-02
8.200000000000005e-01	2.000000e-04	3.576018e-02
8.300000000000005e-01	2.000000e-04	3.576376e-02
8.400000000000005e-01	2.000000e-04	3.576733e-02
8.500000000000005e-01	2.000000e-04	3.577090e-02
8.600000000000005e-01	2.000000e-04	3.577447e-02
8.700000000000006e-01	2.000000e-04	3.577805e-02
8.800000000000006e-01	2.000000e-04	3.578162e-02
8.900000000000006e-01	2.000000e-04	3.578519e-02
9.000000000000006e-01	2.000000e-04	3.578877e-02
9.100000000000006e-01	2.000000e-04	3.579234e-02
9.200000000000006e-01	2.000000e-04	3.579592e-02
9.300000000000006e-01	2.000000e-04	3.579949e-02
9.400000000000006e-01	2.000000e-04	3.580306e-02
9.500000000000006e-01	2.000000e-04	3.580664e-02
9.600000000000006e-01	2.000000e-04	3.581021e-02
9.700000000000006e-01	2.000000e-04	3.581378e-02
9.800000000000006e-01	2.000000e-04	3.581736e-02
9.900000000000007e-01	2.000000e-04	3.582093e-02
1.000000000000001e+00	2.000000e-04	3.582450e-02
